City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
586,ust-nera,RU,64.5667,143.2,-10.77,98,65,2.42,broken clouds
587,qujing,CN,25.4833,103.7833,46.69,68,99,3.4,overcast clouds
588,laurel,US,39.0993,-76.8483,56.95,48,100,19.57,overcast clouds
589,asau,RO,46.4333,26.4,32.92,93,100,1.21,snow
590,amga,RU,60.8953,131.9608,0.86,100,100,1.28,overcast clouds
591,tabuk,PH,17.4189,121.4443,71.85,96,100,4.38,overcast clouds
592,atambua,ID,-9.1061,124.8925,71.01,85,22,2.66,few clouds
593,bria,CF,6.5423,21.9863,81.37,52,100,3.18,overcast clouds
594,byron bay,AU,-28.65,153.6167,64.71,92,95,7.36,light rain
595,college,US,64.8569,-147.8028,23.0,63,75,3.44,broken clouds
596,fethiye,TR,36.6217,29.1164,53.47,53,83,3.4,broken clouds
597,manono,CD,-7.3,27.4167,70.54,91,100,2.08,overcast clouds
598,ismailia,EG,30.6043,32.2723,67.14,46,100,9.69,overcast clouds
599,baracoa,CU,20.3467,-74.4958,84.97,60,47,5.28,scattered clouds
600,morant bay,JM,17.8815,-76.4093,87.71,67,4,11.45,clear sky
601,lewistown,US,40.5992,-77.5714,44.73,90,100,11.5,overcast clouds
602,karwar,IN,14.8,74.1333,78.21,83,51,5.14,broken clouds
